Exercise,Sets,Reps_or_Time,Rest_Seconds,YouTube_URL
סיבובי כתפיים,1,10 קדימה + 10 אחורה,0,
חתול-פרה (Cat Cow),1,8 חזרות,0,https://www.youtube.com/watch?v=kqnua4rHVVA
Lat Lock על המוט,2,10 שניות,30,
תלייה אקטיבית (חימום),2,5 שניות,45,https://www.youtube.com/watch?v=UjH2NsMEZp0
Scap Pulls / תרגול שכמות,4,4 חזרות,60,https://youtu.be/XIkPI-_80r4?si=c2l8g2IIVC2VQ03Y
מתח עם שתי גומיות (25+35),1,2 חזרות,75,https://www.youtube.com/watch?v=ZHllQTJf7eA
מתח עם גומייה 35,6,1 חזרה,90,https://www.youtube.com/watch?v=ZHllQTJf7eA
Top Hold עם גומייה 35,3,5 שניות,60,
90° Hold עם גומייה 35,2,4 שניות,60,
חתירה בטבעות,3,10-12 חזרות,60,https://www.youtube.com/watch?v=h8Nj6fEP0cg
כפיפת מרפקים פטיש (Hammer Curl),2,8-10 חזרות,60,https://www.youtube.com/watch?v=zC3nLlEvin4
תלייה אקטיבית (סיום),3,6 שניות,45,https://www.youtube.com/watch?v=UjH2NsMEZp0
תרגיל ליבה מהמחול,2,לפי התרגיל הקבוע שלו,45,
מתיחת המסטרינג,1-2,30 שניות כל רגל,0,
מתיחת פושטי ירך,1-2,30 שניות כל רגל,0,
מתיחת פרפר,1,40 שניות,0,
