Exercise,Sets,Reps_or_Time,Rest_Seconds,YouTube_URL
חימום קל (ריצה במקום/קפיצות),1,60 שניות,0,https://www.youtube.com/watch?v=ml6cT4AZdqI
סיבובי כתפיים,1,10 קדימה + 10 אחורה,0,https://www.youtube.com/watch?v=3Z7x2Zs9ZSU
חתול-פרה (Cat Cow),1,8 חזרות,0,https://www.youtube.com/watch?v=kqnua4rHVVA
תלייה אקטיבית (חימום),2,5 שניות,45,https://www.youtube.com/watch?v=K2VljzCC16g
מתח עם גומיות 25+35 ק״ג,3,2 חזרות,75,https://www.youtube.com/watch?v=F_2YbHnL8K0
מתח עם גומייה 35 ק״ג,3,1 חזרה,90,https://www.youtube.com/watch?v=F_2YbHnL8K0
תלייה אקטיבית (עיקרי),4,6-8 שניות,60,https://www.youtube.com/watch?v=K2VljzCC16g
חתירה בטבעות / TRX,3,10-12 חזרות,60,https://www.youtube.com/watch?v=GZbfZ033f74
כפיפת מרפקים פטיש (Hammer Curl),2,8-10 חזרות,60,https://www.youtube.com/watch?v=zC3nLlEvin4
פלאנק,2,60 שניות,45,https://www.youtube.com/watch?v=pSHjTRCQxIw
מתיחת פושטי ירך (לאנץ׳),1-2,30 שניות כל רגל,0,https://www.youtube.com/watch?v=7X0Q3L6l9jM
מתיחת המסטרינג בישיבה,1-2,30 שניות כל רגל,0,https://www.youtube.com/watch?v=3Vg8h2kF1cI
מתיחת פרפר,1,40 שניות,0,https://www.youtube.com/watch?v=2f8Z0s7E6pU
ספליט קדמי נתמך,1,30 שניות כל רגל,0,https://www.youtube.com/watch?v=Yp0q7h0N7mM
